LAT,LONG,SHORT_NAME
33.00,66.00,Afghanistan
41.00,20.00,Albania
28.00,3.00,Algeria
-14.33,-170.00,American Samoa
42.50,1.50,Andorra
-12.50,18.50,Angola
18.22,-63.05,Anguilla
17.05,-61.80,Antigua and Barbuda
-34.00,-64.00,Argentina
40.00,45.00,Armenia
12.50,-69.97,Aruba
-15.95,-5.70,Ascension
-12.42,123.33,Ashmore and Cartier Islands
-25.00,135.00,Australia
47.33,13.33,Austria
40.50,47.50,Azerbaijan
24.00,-76.00,Bahamas
26.00,50.50,Bahrain
24.00,90.00,Bangladesh
13.17,-59.53,Barbados
-21.42,39.70,Bassas da India
53.00,28.00,Belarus
50.83,4.00,Belgium
17.25,-88.75,Belize
9.50,2.25,Benin
32.33,-64.75,Bermuda
27.50,90.50,Bhutan
-17.00,-65.00,Bolivia
12.20,-68.25,Bonaire
44.25,17.83,Bosnia and Herzegovina
-22.00,24.00,Botswana
-54.43,3.40,Bouvet Island
-10.00,-55.00,Brazil
-6.00,72.00,British Indian Ocean Territory
18.50,-64.50,British Virgin Islands
4.50,114.67,Brunei
43.00,25.00,Bulgaria
13.00,-2.00,Burkina Faso
22.00,98.00,Burma
-3.50,30.00,Burundi
13.00,105.00,Cambodia
6.00,12.00,Cameroon
60.00,-96.00,Canada
16.00,-24.00,Cape Verde
19.50,-80.67,Cayman Islands
7.00,21.00,Central African Republic
15.00,19.00,Chad
-30.00,-71.00,Chile
35.00,105.00,China
-10.50,105.67,Christmas Island
10.28,-109.22,Clipperton Island
-12.00,96.83,Cocos (Keeling) Islands
4.00,-72.00,Colombia
-12.17,44.25,Comoros
-16.08,-161.58,Cook Islands
-17.50,151.00,Coral Sea Islands
10.00,-84.00,Costa Rica
8.00,-5.00,Cote d'Ivoire
45.17,15.50,Croatia
22.00,-79.50,Cuba
12.17,-69.00,Curaçao
35.00,33.00,Cyprus
49.75,15.00,Czech Republic
0.00,25.00,Democratic Republic of the Congo
56.00,10.00,Denmark
11.50,42.50,Djibouti
15.50,-61.33,Dominica
19.00,-70.67,Dominican Republic
-2.00,-77.50,Ecuador
27.00,30.00,Egypt
13.83,-88.92,El Salvador
2.00,10.00,Equatorial Guinea
15.00,39.00,Eritrea
59.00,26.00,Estonia
8.00,38.00,Ethiopia
-22.33,40.37,Europa Island
-51.75,-59.17,Falkland Islands
62.00,-7.00,Faroe Islands
5.00,152.00,Federated States of Micronesia
-18.00,178.00,Fiji
64.00,26.00,Finland
46.00,2.00,France
4.00,-53.00,French Guiana
-15.00,-140.00,French Polynesia
-43.00,67.00,French Southern and Antarctic Lands
-1.00,11.75,Gabon
13.50,-15.50,Gambia
31.43,34.37,Gaza Strip
42.00,43.50,Georgia
51.50,10.50,Germany
8.00,-2.00,Ghana
36.13,-5.35,Gibraltar
-11.50,47.33,Glorioso Islands
39.00,22.00,Greece
72.00,-40.00,Greenland
12.12,-61.67,Grenada
16.25,-61.58,Guadeloupe
13.44,144.74,Guam
15.50,-90.25,Guatemala
49.58,-2.33,Guernsey
11.00,-10.00,Guinea
12.00,-15.00,Guinea-Bissau
5.00,-59.00,Guyana
19.00,-72.42,Haiti
-53.00,73.00,Heard Island and McDonald Islands
15.00,-86.50,Honduras
22.25,114.17,Hong Kong
47.00,20.00,Hungary
65.00,-18.00,Iceland
20.00,77.00,India
-5.00,120.00,Indonesia
32.00,53.00,Iran
33.00,44.00,Iraq
53.00,-8.00,Ireland
54.25,-4.50,Isle of Man
31.50,34.75,Israel
42.83,12.83,Italy
18.25,-77.50,Jamaica
36.00,138.00,Japan
49.22,-2.12,Jersey
31.00,36.00,Jordan
-17.06,42.72,Juan de Nova Island
48.00,68.00,Kazakhstan
1.00,38.00,Kenya
-5.00,-170.00,Kiribati
42.58,21.00,Kosovo
29.50,47.75,Kuwait
41.00,75.00,Kyrgyzstan
18.00,105.00,Laos
57.00,25.00,Latvia
33.83,35.83,Lebanon
-29.50,28.25,Lesotho
6.50,-9.50,Liberia
25.00,17.00,Libya
47.17,9.53,Liechtenstein
56.00,24.00,Lithuania
49.75,6.17,Luxembourg
22.16,113.56,Macau
41.83,22.00,Macedonia
-20.00,47.00,Madagascar
-13.50,34.00,Malawi
2.50,112.50,Malaysia
3.20,73.00,Maldives
17.00,-4.00,Mali
35.92,14.43,Malta
10.00,167.00,Marshall Islands
14.67,-61.00,Martinique
20.00,-12.00,Mauritania
-20.30,57.58,Mauritius
-12.83,45.17,Mayotte
23.00,-102.00,Mexico
47.00,29.00,Moldova
43.73,7.40,Monaco
46.00,105.00,Mongolia
42.50,19.30,Montenegro
16.75,-62.20,Montserrat
32.00,-5.00,Morocco
-18.25,35.00,Mozambique
-22.00,17.00,Namibia
-0.53,166.92,Nauru
28.00,84.00,Nepal
52.50,5.75,Netherlands
-21.50,165.50,New Caledonia
-42.00,174.00,New Zealand
13.00,-85.00,Nicaragua
16.00,8.00,Niger
10.00,8.00,Nigeria
-19.03,-169.87,Niue
-29.03,167.95,Norfolk Island
40.00,127.00,North Korea
16.00,146.00,Northern Mariana Islands
62.00,10.00,Norway
21.00,57.00,Oman
30.00,70.00,Pakistan
6.00,134.00,Palau
9.00,-80.00,Panama
-6.00,147.00,Papua New Guinea
-22.99,-58.00,Paraguay
-10.00,-76.00,Peru
13.00,122.00,Philippines
-25.07,-130.10,Pitcairn Islands
52.00,20.00,Poland
39.50,-8.00,Portugal
18.25,-66.50,Puerto Rico
25.50,51.25,Qatar
-1.00,15.00,Republic of the Congo
-21.10,55.60,Reunion
46.00,25.00,Romania
60.00,100.00,Russia
-2.00,30.00,Rwanda
17.90,-62.83,Saint Barthelemy
17.33,-62.75,Saint Kitts and Nevis
13.88,-60.97,Saint Lucia
18.08,-63.06,Saint Martin
46.83,-56.33,Saint Pierre and Miquelon
13.08,-61.20,Saint Vincent and the Grenadines
-13.80,-172.18,Samoa
43.93,12.42,San Marino
1.00,7.00,Sao Tome and Principe
25.00,45.00,Saudi Arabia
14.00,-14.00,Senegal
44.00,21.00,Serbia
-4.58,55.67,Seychelles
8.50,-11.50,Sierra Leone
1.37,103.80,Singapore
18.04,-63.07,Sint Maarten
48.67,19.50,Slovakia
46.25,15.17,Slovenia
-8.00,159.00,Solomon Islands
6.00,48.00,Somalia
-30.00,26.00,South Africa
-56.00,-33.00,South Georgia and South Sandwich Islands
37.00,127.50,South Korea
8.00,30.00,South Sudan
40.00,-4.00,Spain
7.00,81.00,Sri Lanka
16.00,30.00,Sudan
4.00,-56.00,Suriname
78.00,20.00,Svalbard
-26.50,31.50,Swaziland
62.00,15.00,Sweden
47.00,8.00,Switzerland
35.00,38.00,Syria
24.00,121.00,Taiwan
39.00,71.00,Tajikistan
-6.00,35.00,Tanzania
15.00,100.00,Thailand
-8.83,125.75,Timor-Leste
8.00,1.17,Togo
-9.00,-171.75,Tokelau
-20.00,-175.00,Tonga
11.00,-61.00,Trinidad and Tobago
-15.87,54.42,Tromelin Island
34.00,9.00,Tunisia
39.06,34.91,Turkey
40.00,60.00,Turkmenistan
21.73,-71.58,Turks and Caicos Islands
-8.00,178.00,Tuvalu
2.00,33.00,Uganda
49.00,32.00,Ukraine
24.00,54.00,United Arab Emirates
54.00,-4.00,United Kingdom
39.83,-98.58,United States
-33.00,-56.00,Uruguay
5.88,-162.07,US Minor Outlying Islands
18.35,-64.98,US Virgin Islands
41.71,63.85,Uzbekistan
-16.00,167.00,Vanuatu
41.90,12.45,Vatican City
8.00,-66.00,Venezuela
16.17,107.83,Vietnam
-13.30,-176.20,Wallis and Futuna
31.67,35.25,West Bank
25.00,-13.50,Western Sahara
15.50,47.50,Yemen
-15.00,30.00,Zambia
-19.00,29.00,Zimbabwe
